,年份,1949,1951,1955,1957,1961,1963,1966,1970,1972,1973,1975,1976,1978,1979,1980,1984,1991,1992,至今
,建交国家数量,10,20,24,28,40,43,51,56,90,91,106,110,115,119,122,128,142,157,绝大多数国家都与中国建交
台湾,,47,,,46,,,,70,,,,27,,,,23,,,13（全为小国）
